FearGreed_Value,FearGreed_Label,Date,time_until_update
48,Neutral,2025-09-09,
49,Neutral,2025-09-10,
54,Neutral,2025-09-11,
57,Greed,2025-09-12,
52,Neutral,2025-09-13,
55,Greed,2025-09-14,
53,Neutral,2025-09-15,
52,Neutral,2025-09-16,
53,Neutral,2025-09-17,
52,Neutral,2025-09-18,
53,Neutral,2025-09-19,
48,Neutral,2025-09-20,
49,Neutral,2025-09-21,
45,Fear,2025-09-22,
43,Fear,2025-09-23,
44,Fear,2025-09-24,
44,Fear,2025-09-25,
28,Fear,2025-09-26,
33,Fear,2025-09-27,
37,Fear,2025-09-28,
50,Neutral,2025-09-29,
50,Neutral,2025-09-30,
49,Neutral,2025-10-01,
64,Greed,2025-10-02,
63,Greed,2025-10-03,
71,Greed,2025-10-04,
74,Greed,2025-10-05,
71,Greed,2025-10-06,
70,Greed,2025-10-07,
60,Greed,2025-10-08,
70,Greed,2025-10-09,
64,Greed,2025-10-10,
27,Fear,2025-10-11,
24,Extreme Fear,2025-10-12,
38,Fear,2025-10-13,
38,Fear,2025-10-14,
34,Fear,2025-10-15,
28,Fear,2025-10-16,
22,Extreme Fear,2025-10-17,
23,Extreme Fear,2025-10-18,
29,Fear,2025-10-19,
29,Fear,2025-10-20,
34,Fear,2025-10-21,
25,Extreme Fear,2025-10-22,
27,Fear,2025-10-23,
30,Fear,2025-10-24,
37,Fear,2025-10-25,
40,Fear,2025-10-26,
51,Neutral,2025-10-27,
50,Neutral,2025-10-28,
51,Neutral,2025-10-29,
34,Fear,2025-10-30,
29,Fear,2025-10-31,22756
